player;tit_for_tat;tideman_ chieruzzi;nydegger;grofman;shubik;stein_rapoport;friedman;davis;grasskamp;downing;feld;joss;tullock;name_withheld;random;avg_score
TIT FOR TAT;600;595;600;600;600;595;600;600;597;597;280;225;279;359;441;504
TIDEMAN & CHIERUZZI;600;596;600;601;600;596;600;600;310;601;271;213;291;455;573;500
NYDEGGER;600;595;600;600;600;595;600;600;433;158;354;374;347;368;464;486
GROFMAN;600;595;600;600;600;594;600;600;376;309;280;236;305;426;507;482
SHUBIK;600;595;600;600;600;595;600;600;348;271;274;272;265;448;543;481
STEIN & RAPOPORT;600;596;600;602;600;596;600;600;319;200;252;249;280;480;592;478
FRIEDMAN;600;595;600;600;600;595;600;600;307;207;235;213;263;489;598;473
DAVIS;600;595;600;600;600;595;600;600;307;194;238;247;253;450;598;472
GRAASKAMP;597;305;462;375;348;314;302;302;588;625;268;238;274;466;548;401
DOWNING;597;591;398;289;261;215;202;239;555;202;436;540;243;487;604;391
FELD;285;272;426;286;297;255;235;239;274;704;246;236;272;420;467;328
JOSS;230;214;409;237;286;254;213;252;244;634;236;224;273;390;469;304
TULLOCK;284;287;415;293;318;271;243;229;278;193;271;260;273;416;478;301
(Name Withheld);362;231;397;273;230;149;133;173;187;133;317;366;345;413;526;282
RANDOM;442;142;407;313;219;141;108;137;189;102;360;416;419;300;450;276
